Path to each video;ID conserved of an individual;noise or worm ?;Comments
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;20;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;21;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;22;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;23;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;24;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;25;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;26;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;27;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;28;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;29;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;30;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;31;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;32;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;33;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;34;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;35;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;36;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;37;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;38;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;39;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;40;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;41;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;42;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;43;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;44;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;45;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;46;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;47;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;48;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;49;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;50;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;51;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;52;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;53;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;54;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;55;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;56;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;57;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;58;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;59;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;60;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;61;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;62;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;63;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;64;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;65;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;66;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;67;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;68;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;69;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;70;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;71;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;72;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;73;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;74;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;75;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;76;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;1;worm;1 worm
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;2;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;3;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;4;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;5;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;6;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;7;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;8;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;9;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;10;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;11;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;12;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;13;noise;
Minipatches_light_20260116/20221016T114101_SmallPatches_C5-CAM2;14;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;1;worm;1 worm
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;2;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;3;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;4;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;5;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;6;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;7;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;8;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;9;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;10;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;11;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;12;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;13;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;14;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;15;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;16;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;17;noise;
Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM3;18;noise;
Minipatches_light_20260116/20221015T201431_SmallPatches_C4-CAM4;NA;NA;no traj.csv file
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;1;worm;1 worm
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;2;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;3;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;4;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;5;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;6;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;7;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;8;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;9;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;10;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;11;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;12;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;13;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;14;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;15;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;16;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;17;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;18;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;19;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;20;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;21;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;22;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;23;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;24;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;25;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;26;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;27;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;28;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;29;noise;
Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4;30;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM6;NA;NA;no traj.csv file
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;1;worm;1 worm
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;2;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;3;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;4;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;5;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;6;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;7;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;8;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;9;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;10;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;11;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;12;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;13;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;14;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;15;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;16;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;17;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;18;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;19;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;20;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;21;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;22;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;23;noise;
Minipatches_light_20260116/20221115T113211_SmallPatches_C4-CAM1;24;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;1;worm;1 worm
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;2;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;3;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;4;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;5;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;6;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;7;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;8;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;9;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;10;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;11;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;12;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;13;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;14;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;15;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;16;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;17;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;18;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;19;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;20;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;21;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;22;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;23;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;24;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;25;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;26;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;27;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;28;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;29;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;30;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;31;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;32;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;33;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;34;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;35;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;36;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;37;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;38;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;39;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;40;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;41;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;42;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;43;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;44;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;45;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;46;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;47;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;48;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;49;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;50;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;51;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;52;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;53;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;54;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;55;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;56;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;57;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;58;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;59;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;60;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;61;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;62;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;63;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;64;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;65;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;66;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;67;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;68;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;69;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;70;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;71;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;72;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;73;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;74;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;75;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;76;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;77;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;78;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;79;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;80;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;81;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;82;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;83;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;84;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;85;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;86;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;87;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;88;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;89;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;90;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;91;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;92;noise;
Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM1;93;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;1;worm;1 worm
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;2;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;3;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;4;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;5;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;6;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;7;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;8;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;9;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;10;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;11;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;12;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;13;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;14;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;15;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;16;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;17;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;18;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;19;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;20;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;21;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;22;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;23;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;24;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;25;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;26;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;27;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;28;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;29;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;30;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;31;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;32;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;33;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;34;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;35;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;36;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;37;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;38;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;39;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;40;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;41;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;42;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;43;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;44;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;45;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;46;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;47;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;48;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;49;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;50;noise;
Minipatches_light_20260116/20221125T144055_SmallPatches_C5-CAM1;51;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;1;worm;1 worm
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;2;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;3;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;4;worm;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;5;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;6;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;7;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;8;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;9;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;10;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;11;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;12;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;13;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;14;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;15;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;16;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;17;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;18;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;19;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;20;noise;
Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM8;21;noise;
